Block	Density	Rep	Life	Sex	Length	Status
A	Med	4	58	F	4.01	1
A	Med	5	56	M	3.91	1
A	Med	5	44	M	4.14	1
A	Med	5	44	M	3.49	1
A	Med	5	63	M	3.03	1
A	Med	5	77	M	3.24	1
A	Med	5	33	M	3.72	1
A	Med	5	37	M	4.36	1
A	Med	5	58	F	2.86	1
A	Med	5	5	F	2.41	1
A	Med	5	68	F	4.12	1
A	Med	5	58	F	3.06	1
A	Med	5	44	F	2.92	1
A	Med	5	58	F	3.28	1
A	Med	5	44	F	3.53	1
A	Med	5	79	F	3.2	1
A	Med	5	61	F	4.11	1
A	Med	5	37	F	3.89	1
A	Med	5	65	F	3.22	1
A	Med	6	44	M	4.13	1
A	Med	6	47	M	3.97	1
A	Med	6	91	M	NA	0
A	Med	6	65	M	3.89	1
A	Med	6	54	M	4.03	1
A	Med	6	51	M	4.33	1
A	Med	6	58	F	4.19	1
A	Med	6	58	F	3.04	1
A	Med	6	68	F	3.33	1
A	Med	6	54	F	3.93	1
A	Med	6	44	F	3.87	1
A	Med	6	68	F	3.74	1
A	Med	6	70	F	3.93	1
A	Med	6	47	F	3.74	1
A	Med	6	68	F	3.62	1
A	Med	6	44	F	4.1	1
A	Med	6	58	F	4.15	1
A	Med	7	63	M	4.05	1
A	Med	7	44	M	3.86	1
A	Med	7	47	M	4.09	1
A	Med	7	40	M	4.04	1
A	Med	7	51	M	2.88	1
A	Med	7	40	M	4.01	1
A	Med	7	37	F	3.97	1
A	Med	7	58	F	4.02	1
A	Med	7	68	F	3.95	1
A	Med	7	51	F	3.97	1
A	Med	7	65	F	4.08	1
A	Med	7	49	F	4.18	1
A	Med	7	54	F	4.04	1
A	Med	7	61	F	3.87	1
A	Med	7	37	F	4.17	1
A	Med	7	26	F	3.5	1
A	Med	7	40	F	3.65	1
A	Med	7	2	F	2.68	1
B	High	1	59	M	3.31	1
B	High	1	76	M	3.19	1
B	High	1	83	M	3.19	1
B	High	1	45	M	3.2	1
B	High	1	52	M	3.29	1
B	High	1	50	M	3.37	1
B	High	1	83	M	3.37	1
B	High	1	48	M	3.95	1
B	High	1	41	M	3.11	1
B	High	1	55	M	3.55	1
B	High	1	59	M	3.29	1
B	High	1	85	M	3.17	1
B	High	1	3	M	2.46	1
B	High	1	52	M	3.19	1
B	High	1	43	M	3.53	1
B	High	1	43	M	3.52	1
B	High	1	76	F	3.01	1
B	High	1	17	F	3.26	1
B	High	1	69	F	3.13	1
B	High	1	3	F	2.96	1
B	High	1	57	F	3.53	1
B	High	1	62	F	3.73	1
B	High	1	3	F	2.77	1
B	High	1	41	F	3.41	1
B	High	1	76	F	3.38	1
B	High	1	66	F	2.96	1
B	High	1	3	F	2.81	1
B	High	1	66	F	3.3	1
B	High	1	62	F	3.47	1
B	High	1	62	F	3.51	1
B	High	1	48	F	3.68	1
B	High	1	66	F	3.46	1
B	High	1	55	F	3.74	1
B	High	1	71	F	3.01	1
B	High	1	59	F	3.07	1
B	High	1	6	F	3.32	1
B	High	1	38	F	3.65	1
B	High	1	52	F	3.22	1
B	High	1	73	F	3.26	1
B	High	1	50	F	3.66	1
B	High	1	52	F	3.7	1
B	High	1	73	F	3.61	1
B	High	1	62	F	3.04	1
B	High	2	57	M	3.76	1
B	High	2	45	M	3.76	1
B	High	2	55	M	2.64	1
B	High	2	59	M	3.08	1
B	High	2	78	M	3.59	1
B	High	2	48	M	3.97	1
B	High	2	43	M	3.38	1
B	High	2	8	M	3.44	1
B	High	2	52	M	3.83	1
B	High	2	45	M	3.61	1
B	High	2	59	M	3.51	1
B	High	2	55	M	3.72	1
B	High	2	41	M	3.63	1
B	High	2	71	M	3.71	1
B	High	2	62	F	3.28	1
B	High	2	62	F	3.58	1
B	High	2	48	F	3.62	1
B	High	2	57	F	3.2	1
B	High	2	55	F	3.64	1
B	High	2	55	F	3.64	1
B	High	2	41	F	3.58	1
B	High	2	48	F	3.37	1
B	High	2	45	F	3.78	1
B	High	2	66	F	3.65	1
B	High	2	55	F	3.54	1
B	High	2	45	F	3.58	1
B	High	2	48	F	3.82	1
B	High	2	48	F	3.78	1
B	Med	1	80	M	4.17	1
B	Med	1	48	M	4.12	1
B	Med	1	45	M	3.78	1
B	Med	1	69	M	4.04	1
B	Med	1	85	M	NA	0
B	Med	1	43	M	3.41	1
B	Med	1	48	M	3.8	1
B	Med	1	43	M	3.99	1
B	Med	1	50	M	4.13	1
B	Med	1	62	F	3.9	1
B	Med	1	55	F	3.67	1
B	Med	1	52	F	4.02	1
B	Med	1	55	F	4.03	1
B	Med	1	85	F	NA	0
B	Med	1	59	F	3.9	1
B	Med	1	41	F	4.02	1
B	Med	1	48	F	4.01	1
B	Med	1	38	F	3.87	1
B	Med	1	48	F	4.12	1
B	Med	1	43	F	3.96	1
B	Med	1	57	F	4.11	1
B	Med	1	69	F	3.79	1
B	Med	1	48	F	3.84	1
B	Med	2	43	M	3.97	1
B	Med	2	52	M	4.07	1
B	Med	2	41	M	4.14	1
B	Med	2	52	M	2.85	1
B	Med	2	45	M	4.45	1
B	Med	2	41	M	3.96	1
B	Med	2	50	M	4.05	1
B	Med	2	41	M	4.21	1
B	Med	2	62	M	4.05	1
B	Med	2	64	F	3.96	1
B	Med	2	27	F	4.17	1
B	Med	2	85	F	4.08	1
B	Med	2	52	F	3.97	1
B	Med	2	71	F	4.05	1
B	Med	2	73	F	4	1
B	Med	2	64	F	3.94	1
B	Med	2	66	F	4.04	1
B	Med	2	43	M	3.74	1
B	Med	3	45	M	4.1	1
B	Med	3	48	M	3.67	1
B	Med	3	48	M	3.79	1
B	Med	3	38	M	3.73	1
B	Med	3	45	M	4.03	1
B	Med	3	45	M	3.84	1
B	Med	3	52	M	4.2	1
B	Med	3	55	M	4.14	1
B	Med	3	66	M	4.18	1
B	Med	3	83	M	4.12	1
B	Med	3	52	F	3.97	1
B	Med	3	59	M	3.98	1
B	Med	3	48	F	3.2	1
B	Med	3	34	F	3.62	1
B	Med	3	66	F	4.03	1
B	Med	3	59	F	3.98	1
B	Med	3	59	F	3.99	1
B	Med	3	52	F	4.08	1
B	Med	3	52	F	3.84	1
B	Med	4	38	M	3.51	1
B	Med	4	55	M	4.3	1
B	Med	4	45	M	3.91	1
B	Med	4	38	M	3.99	1
B	Med	4	15	M	4	1
B	Med	4	38	M	3.73	1
B	Med	4	59	M	3.86	1
B	Med	4	55	M	3.88	1
B	Med	4	43	M	4.15	1
B	Med	4	38	M	3.94	1
B	Med	4	43	M	3.92	1
B	Med	4	45	M	3.74	1
B	Med	4	52	M	4.13	1
B	Med	4	43	M	3.81	1
B	Med	4	48	F	3.57	1
B	Med	4	48	F	3.93	1
B	Med	4	66	F	4.04	1
B	Med	4	48	F	4.02	1
B	Med	4	48	F	3.93	1
B	Med	5	43	M	3.92	1
B	Med	5	52	M	4.09	1
B	Med	5	66	M	3.68	1
B	Med	5	48	M	3.88	1
B	Med	5	69	M	4.02	1
B	Med	5	45	M	3.81	1
B	Med	5	71	M	3.89	1
B	Med	5	55	M	3.78	1
B	Med	5	48	M	3.31	1
B	Med	5	64	M	2.79	1
B	Med	5	24	F	3.51	1
B	Med	5	55	F	3.07	1
B	Med	5	64	F	3.81	1
B	Med	5	45	F	3.27	1
B	Med	5	69	F	3.03	1
B	Med	5	66	F	3.63	1
B	Med	5	59	F	3.73	1
B	Med	5	52	F	3.84	1
B	Med	5	48	F	3.46	1
B	Med	5	52	F	4.05	1
B	Med	6	50	M	3.82	1
B	Med	6	62	M	4.08	1
B	Med	6	69	M	3.71	1
B	Med	6	76	M	4	1
B	Med	6	78	M	3.9	1
B	Med	6	59	M	4.1	1
B	Med	6	59	M	3.7	1
B	Med	6	31	F	3.93	1
B	Med	6	80	F	3.85	1
B	Med	6	64	F	3.75	1
B	Med	6	52	F	3.58	1
B	Med	6	48	F	3.81	1
B	Med	6	52	F	3.97	1
B	Med	6	59	F	3.87	1
B	Med	6	45	F	4.18	1
B	Med	6	45	F	4	1
B	Med	6	59	F	4	1
C	High	1	44	M	3.57	1
C	High	1	72	M	2.83	1
C	High	1	61	M	3.36	1
C	High	1	77	M	NA	0
C	High	1	54	M	3.68	1
C	High	1	49	M	3.45	1
C	High	1	23	M	2.64	1
C	High	1	58	M	3.72	1
C	High	1	49	M	4.21	1
C	High	1	77	M	NA	0
C	High	1	77	M	NA	0
C	High	1	42	M	3.8	1
C	High	1	49	M	3.56	1
C	High	1	72	M	3.44	1
C	High	1	61	M	3.63	1
C	High	1	63	M	3.37	1
C	High	1	42	F	3.17	1
C	High	1	51	F	3.76	1
C	High	1	72	F	3.75	1
C	High	1	9	F	NA	0
C	High	1	75	F	3.61	1
C	High	1	63	F	2.96	1
C	High	1	51	F	3.83	1
C	High	1	51	F	3.44	1
C	High	1	77	F	3.82	1
C	High	1	44	F	2.52	1
C	High	1	77	F	NA	0
C	High	1	35	F	3.53	1
C	High	1	49	F	3.31	1
C	High	1	75	F	3.24	1
C	High	1	77	F	3.65	1
C	High	1	58	F	3.25	1
C	High	1	54	F	3.66	1
C	High	1	54	F	3.59	1
C	High	1	37	F	3.73	1
C	High	1	58	F	3.29	1
C	High	1	77	F	NA	0
C	High	1	54	F	3.63	1
C	High	2	58	M	3.41	1
C	High	2	37	M	3.9	1
C	High	2	77	M	NA	0
C	High	2	21	M	3.51	1
C	High	2	77	M	NA	0
C	High	2	42	M	3.26	1
C	High	2	51	M	3.54	1
C	High	2	77	M	NA	0
C	High	2	63	M	4.05	1
C	High	2	65	M	3.49	1
C	High	2	75	M	3.58	1
C	High	2	44	M	3.31	1
C	High	2	51	M	3.54	1
C	High	2	77	M	4.2	1
C	High	2	77	M	NA	0
C	High	2	75	M	3.38	1
C	High	2	23	M	3.29	1
C	High	2	77	M	NA	0
C	High	2	58	M	4.25	1
C	High	2	77	M	NA	0
C	High	2	63	M	3.66	1
C	High	2	51	F	3.98	1
C	High	2	26	F	3.28	1
C	High	2	35	F	3.73	1
C	High	2	44	F	3.28	1
C	High	2	77	F	NA	0
C	High	2	58	F	4.09	1
C	High	2	47	F	3.42	1
C	High	2	65	F	3.21	1
C	High	2	65	F	3.79	1
C	High	2	51	F	4.06	1
C	High	2	61	F	3.6	1
C	High	2	40	F	3.51	1
C	High	2	51	F	3.79	1
C	High	2	77	F	NA	0
C	High	2	75	F	3.93	1
C	High	2	49	F	3.6	1
C	High	2	51	F	3.7	1
C	High	2	1	F	2.47	1
C	High	2	72	F	3.36	1
C	Med	1	14	M	3.88	1
C	Med	1	47	M	4	1
C	Med	1	77	M	NA	0
C	Med	1	75	M	4.04	1
C	Med	1	37	M	4.04	1
C	Med	1	49	F	3.93	1
C	Med	1	49	F	3.89	1
C	Med	1	44	F	4.1	1
C	Med	1	65	F	3.97	1
C	Med	1	56	F	4.24	1
C	Med	1	68	F	4.16	1
C	Med	1	65	F	4.22	1
C	Med	1	7	M	3.53	1
C	Med	2	1	F	2.51	1
C	Med	2	77	F	NA	0
C	Med	2	77	F	NA	0
C	Med	2	44	F	3.77	1
C	Med	2	51	F	3.88	1
C	Med	2	77	F	NA	0
C	Med	2	77	F	NA	0
C	Med	2	72	F	4.31	1
C	Med	2	58	F	3.78	1
C	Med	2	47	M	3.81	1
C	Med	2	65	M	4.22	1
C	Med	2	72	M	4.25	1
C	Med	2	77	M	NA	0
C	Med	2	51	M	3.73	1
C	Med	2	37	M	3.75	1
C	Med	2	21	M	4.08	1
C	Med	2	51	M	3.69	1
C	Med	2	47	M	4.08	1
C	Med	2	61	F	3.92	1
C	Med	2	77	F	NA	0
C	Med	3	40	M	4.07	1
C	Med	3	77	M	NA	0
C	Med	3	77	M	NA	0
C	Med	3	47	M	4.05	1
C	Med	3	77	M	NA	0
C	Med	3	75	M	3.92	1
C	Med	3	40	M	3.86	1
C	Med	3	58	M	3.73	1
C	Med	3	51	M	3.92	1
C	Med	3	77	M	NA	0
C	Med	3	65	M	4.11	1
C	Med	3	75	M	4.19	1
C	Med	3	51	F	4.04	1
C	Med	3	40	F	4.24	1
C	Med	3	65	F	4.18	1
C	Med	3	58	F	4.08	1
C	Med	3	44	F	4.27	1
C	Med	3	58	F	4.08	1
C	Med	3	75	F	4.2	1
C	Med	4	77	M	NA	0
C	Med	4	77	M	NA	0
C	Med	4	47	M	4.11	1
C	Med	4	33	M	4.24	1
C	Med	4	49	M	4.07	1
C	Med	4	77	M	NA	0
C	Med	4	40	M	4.14	1
C	Med	4	58	M	4.03	1
C	Med	4	47	M	4.16	1
C	Med	4	58	F	4.06	1
C	Med	4	54	F	4.21	1
C	Med	4	44	F	4.18	1
C	Med	4	63	F	4.13	1
C	Med	4	72	F	4.15	1
C	Med	4	65	F	4.14	1
C	Med	4	40	F	4.18	1
C	Med	4	47	F	4.09	1
C	Med	4	37	F	4.14	1
C	Med	4	30	F	4.21	1
C	Med	4	54	F	4.09	1
D	High	1	61	M	3.37	1
D	High	1	61	M	3.68	1
D	High	1	61	M	2.82	1
D	High	1	66	M	NA	0
D	High	1	66	M	NA	0
D	High	1	61	M	4.07	1
D	High	1	66	M	NA	0
D	High	1	15	M	4.11	1
D	High	1	61	M	3.64	1
D	High	1	57	M	3.61	1
D	High	1	66	M	NA	0
D	High	1	54	M	4.12	1
D	High	1	66	M	NA	0
D	High	1	54	M	3.77	1
D	High	1	33	M	3.65	1
D	High	1	66	M	NA	0
D	High	1	59	M	3.62	1
D	High	1	50	M	4.06	1
D	High	1	66	M	NA	0
D	High	1	66	M	NA	0
D	High	1	66	M	3.76	1
D	High	1	66	M	NA	0
D	High	1	66	F	NA	0
D	High	1	40	F	3.99	1
D	High	1	57	F	2.93	1
D	High	1	66	F	NA	0
D	High	1	66	F	NA	0
D	High	1	61	F	3.82	1
D	High	1	66	F	NA	0
D	High	1	43	F	3.68	1
D	High	1	64	F	3.54	1
D	High	1	66	F	NA	0
D	High	1	52	F	3.2	1
D	High	1	66	F	NA	0
D	High	1	64	F	3.72	1
D	High	1	66	F	NA	0
D	High	1	66	F	NA	0
D	High	1	66	F	NA	0
D	High	2	66	M	NA	0
D	High	2	61	M	3.37	1
D	High	2	59	M	3.58	1
D	High	2	54	M	3.89	1
D	High	2	64	M	3.81	1
D	High	2	52	M	3.99	1
D	High	2	59	M	3.87	1
D	High	2	66	M	NA	0
D	High	2	61	M	3.82	1
D	High	2	64	M	3.46	1
D	High	2	54	M	3.35	1
D	High	2	66	M	NA	0
D	High	2	66	M	NA	0
D	High	2	61	M	3.32	1
D	High	2	57	M	3.71	1
D	High	2	64	F	3.81	1
D	High	2	54	F	2.79	1
D	High	2	66	F	NA	0
D	High	2	66	F	NA	0
D	High	2	61	F	3.15	1
D	High	2	66	F	NA	0
D	High	2	66	F	NA	0
D	High	2	66	F	NA	0
D	High	2	66	F	2.75	1
D	High	2	47	F	3.8	1
D	High	2	66	F	NA	0
D	High	2	57	F	3.82	1
D	High	2	57	F	2.95	1
D	High	2	61	F	3.77	1
D	High	2	66	F	NA	0
D	High	2	66	F	NA	0
D	High	2	66	F	NA	0
D	High	2	29	F	3.68	1
D	High	2	54	F	4.03	1
D	High	2	66	F	NA	0
D	High	2	61	F	2.78	1
D	High	2	66	F	NA	0
D	High	2	66	F	NA	0
D	High	2	66	F	3.89	1
D	High	2	64	F	3.75	1
D	High	2	61	F	3.87	1
D	High	2	33	F	3.75	1
D	High	2	66	F	NA	0
D	Med	1	66	M	NA	0
D	Med	1	64	M	3.98	1
D	Med	1	66	M	NA	0
D	Med	1	57	M	4	1
D	Med	1	59	F	4.06	1
D	Med	1	57	F	4.19	1
D	Med	1	66	F	NA	0
D	Med	1	29	F	4.28	1
D	Med	1	47	F	NA	0
D	Med	1	66	F	4.11	1
D	Med	1	66	F	3.89	1
D	Med	1	59	F	3.89	1
D	Med	1	66	F	NA	0
D	Med	1	61	F	4.17	1
D	Med	1	61	F	4.12	1
D	Med	1	15	F	3.89	1
D	Med	1	64	F	2.91	1
D	Med	2	50	M	4.01	1
D	Med	2	57	M	4.02	1
D	Med	2	57	M	4.19	1
D	Med	2	54	M	4.02	1
D	Med	2	50	M	3.63	1
D	Med	2	66	M	NA	0
D	Med	2	66	M	NA	0
D	Med	2	66	F	NA	0
D	Med	2	61	F	4.29	1
D	Med	2	66	F	4.13	1
D	Med	2	66	F	NA	0
D	Med	2	64	F	3.87	1
D	Med	2	43	F	3.48	1
D	Med	2	61	F	4.14	1
D	Med	2	66	F	NA	0
D	Med	3	66	M	NA	0
D	Med	3	66	M	NA	0
D	Med	3	54	M	4.23	1
D	Med	3	66	M	NA	0
D	Med	3	66	M	NA	0
D	Med	3	50	M	3.97	1
D	Med	3	66	M	NA	0
D	Med	3	52	M	3.85	1
D	Med	3	66	NA	NA	0
D	Med	3	66	NA	NA	0
D	Med	3	66	NA	4.04	1
D	Med	3	57	F	3.97	1
D	Med	3	57	F	4.23	1
D	Med	3	57	F	3.83	1
D	Med	4	66	M	4.08	1
D	Med	4	59	M	4.02	1
D	Med	4	52	M	4.09	1
D	Med	4	66	M	NA	0
D	Med	4	57	M	4.02	1
D	Med	4	36	M	4.25	1
D	Med	4	61	M	3.88	1
D	Med	4	66	F	NA	0
D	Med	4	61	F	4.15	1
D	Med	4	66	F	NA	0
D	Med	4	54	F	4.01	1
D	Med	4	40	F	4.11	1
D	Med	4	66	F	NA	0
D	Med	4	66	F	NA	0
D	Med	4	66	F	NA	0
D	Med	4	66	F	NA	0
D	Med	4	66	F	NA	0
D	Med	4	66	F	NA	0
D	Med	5	43	M	4.17	1
D	Med	5	54	M	4.13	1
D	Med	5	64	M	4.29	1
D	Med	5	66	M	NA	0
D	Med	5	59	M	4.19	1
D	Med	5	66	M	NA	0
D	Med	5	47	M	4.28	1
D	Med	5	57	M	4.11	1
D	Med	5	66	M	NA	0
D	Med	5	52	M	3.88	1
D	Med	5	57	M	4.02	1
D	Med	5	47	F	4.31	1
D	Med	5	66	F	NA	0
D	Med	5	66	F	NA	0
D	Med	5	66	F	4.13	1
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
