Block	Density	Rep	Life	Sex	Length	Status			
1	Med	6	58	F	4.19	1			
1	Med	6	58	F	3.04	1			
1	Med	6	68	F	3.33	1			
1	Med	6	54	F	3.93	1			
1	Med	6	44	F	3.87	1			
1	Med	6	68	F	3.74	1			
1	Med	6	70	F	3.93	1			
1	Med	6	47	F	3.74	1			
1	Med	6	68	F	3.62	1			
1	Med	6	44	F	4.1	1			
1	Med	6	58	F	4.15	1			
1	Med	7	63	M	4.05	1			
1	Med	7	44	M	3.86	1			
1	Med	7	47	M	4.09	1			
1	Med	7	40	M	4.04	1			
1	Med	7	51	M	2.88	1			
1	Med	7	40	M	4.01	1			
1	Med	7	37	F	3.97	1			
1	Med	7	58	F	4.02	1			
1	Med	7	68	F	3.95	1			
1	Med	7	51	F	3.97	1			
1	Med	7	65	F	4.08	1			
1	Med	7	49	F	4.18	1			
1	Med	7	54	F	4.04	1			
1	Med	7	61	F	3.87	1			
1	Med	7	37	F	4.17	1			
1	Med	7	26	F	3.5	1			
1	Med	7	40	F	3.65	1			
1	Med	7	2	F	2.68	1			
1	Low	1	47	M	4.11	1			
1	Low	1	65	M	3.94	1			
1	Low	1	51	F	3.36	1			
1	Low	1	40	F	4.23	1			
1	Low	1	NA	NA	NA	0			
1	Low	2	12	F	2.96	1			
1	Low	2	58	F	3.96	1			
1	Low	2	54	F	4.08	1			
1	Low	3	14	M	4.12	1			
1	Low	3	26	F	3.83	1			
1	Low	4	44	M	3.74	1			
1	Low	4	44	M	4.01	1			
1	Low	4	61	M	3.98	1			
1	Low	5	NA	NA	NA	0			
1	Low	5	47	M	4.13	1			
1	Low	5	44	F	3.79	1			
1	Low	5	47	F	3.79	1			
1	Low	5	49	F	3.66	1			
1	Low	5	40	F	4.05	1			
1	Low	6	21	F	4.3	1			
1	Low	6	58	F	3.77	1			
1	Low	6	54	F	3.8	1			
1	Low	6	61	F	3.79	1			
1	Low	7	NA	NA	NA	0			
1	Low	7	30	M	3.89	1			
1	Low	7	49	M	3.84	1			
1	Low	7	NA	NA	NA	0			
1	Low	7	44	M	4.21	1			
1	Low	7	51	F	3.72	1			
1	Low	8	9	M	3.89	1			
1	Low	8	51	M	3.65	1			
1	Low	9	51	M	3.75	1			
1	Low	9	12	M	3.46	1			
1	Low	9	58	F	3.86	1			
1	Low	9	35	F	3.61	1			
1	Low	9	54	F	3.55	1			
1	Low	9	47	F	3.8	1			
1	Low	10	51	F	3.45	1			
1	Low	10	65	F	3.64	1			
1	Low	11	56	F	4.16	1			
1	Low	11	26	M	4.12	1			
1	Low	11	21	M	4.09	1			
1	Low	12	NA	NA	NA	0			
1	Low	12	51	M	3.72	1			
1	Low	12	61	M	4.02	1			
1	Low	12	NA	NA	NA	0			
1	Low	12	47	M	3.69	1			
2	High	1	59	M	3.31	1			
2	High	1	NA	NA	NA	0			
2	High	1	NA	NA	NA	0			
2	High	1	45	M	3.2	1			
2	High	1	52	M	3.29	1			
2	High	1	50	M	3.37	1			
2	High	1	NA	NA	NA	0			
2	High	1	48	M	3.95	1			
2	High	1	41	M	3.11	1			
2	High	1	55	M	3.55	1			
2	High	1	59	M	3.29	1			
2	High	1	NA	NA	NA	0			
2	High	1	3	M	2.46	1			
2	High	1	52	M	3.19	1			
2	High	1	43	M	3.53	1			
2	High	1	43	M	3.52	1			
2	High	1	NA	NA	NA	0			
2	High	1	17	F	3.26	1			
2	High	1	69	F	3.13	1			
2	High	1	3	F	2.96	1			
2	High	1	57	F	3.53	1			
2	High	1	62	F	3.73	1			
2	High	1	3	F	2.77	1			
2	High	1	41	F	3.41	1			
2	High	1	NA	NA	NA	0			
2	High	1	66	F	2.96	1			
2	High	1	3	F	2.81	1			
2	High	1	66	F	3.3	1			
2	High	1	62	F	3.47	1			
2	High	1	62	F	3.51	1			
2	High	1	48	F	3.68	1			
2	High	1	66	F	3.46	1			
2	High	1	55	F	3.74	1			
2	High	1	NA	NA	NA	0			
2	High	1	59	F	3.07	1			
2	High	1	6	F	3.32	1			
2	High	1	38	F	3.65	1			
2	High	1	52	F	3.22	1			
2	High	1	NA	NA	NA	0			
2	High	1	50	F	3.66	1			
2	High	1	52	F	3.7	1			
2	High	1	NA	NA	NA	0			
2	High	1	62	F	3.04	1			
2	High	2	57	M	3.76	1			
2	High	2	45	M	3.76	1			
2	High	2	55	M	2.64	1			
2	High	2	59	M	3.08	1			
2	High	2	NA	NA	NA	0			
2	High	2	48	M	3.97	1			
2	High	2	43	M	3.38	1			
2	High	2	8	M	3.44	1			
2	High	2	52	M	3.83	1			
2	High	2	45	M	3.61	1			
2	High	2	59	M	3.51	1			
2	High	2	55	M	3.72	1			
2	High	2	41	M	3.63	1			
2	High	2	NA	NA	NA	0			
2	High	2	62	F	3.28	1			
2	High	2	62	F	3.58	1			
2	High	2	48	F	3.62	1			
2	High	2	57	F	3.2	1			
2	High	2	55	F	3.64	1			
2	High	2	55	F	3.64	1			
2	High	2	41	F	3.58	1			
2	High	2	48	F	3.37	1			
2	High	2	45	F	3.78	1			
2	High	2	66	F	3.65	1			
2	High	2	55	F	3.54	1			
2	High	2	45	F	3.58	1			
2	High	2	48	F	3.82	1			
2	High	2	48	F	3.78	1			
2	Med	1	NA	NA	NA	0			
2	Med	1	48	M	4.12	1			
2	Med	1	45	M	3.78	1			
2	Med	1	69	M	4.04	1			
2	Med	1	NA	NA	NA	0			
2	Med	1	43	M	3.41	1			
2	Med	1	48	M	3.8	1			
2	Med	1	43	M	3.99	1			
2	Med	1	50	M	4.13	1			
2	Med	1	62	F	3.9	1			
2	Med	1	55	F	3.67	1			
2	Med	1	52	F	4.02	1			
2	Med	1	55	F	4.03	1			
2	Med	1	NA	NA	NA	0			
2	Med	1	59	F	3.9	1			
2	Med	1	41	F	4.02	1			
2	Med	1	48	F	4.01	1			
2	Med	1	38	F	3.87	1			
2	Med	1	48	F	4.12	1			
2	Med	1	43	F	3.96	1			
2	Med	1	57	F	4.11	1			
2	Med	1	69	F	3.79	1			
2	Med	1	48	F	3.84	1			
2	Med	2	43	M	3.97	1			
2	Med	2	52	M	4.07	1			
2	Med	2	41	M	4.14	1			
2	Med	2	52	M	2.85	1			
2	Med	2	45	M	4.45	1			
2	Med	2	41	M	3.96	1			
2	Med	2	50	M	4.05	1			
2	Med	2	41	M	4.21	1			
2	Med	2	62	M	4.05	1			
2	Med	2	64	F	3.96	1			
2	Med	2	27	F	4.17	1			
2	Med	2	NA	NA	NA	0			
2	Med	2	52	F	3.97	1			
2	Med	2	NA	NA	NA	0			
2	Med	2	NA	NA	NA	0			
2	Med	2	64	F	3.94	1			
2	Med	2	66	F	4.04	1			
2	Med	2	NA	NA	NA	0			
2	Med	3	45	M	4.1	1			
2	Med	3	48	M	3.67	1			
2	Med	3	48	M	3.79	1			
2	Med	3	38	M	3.73	1			
2	Med	3	45	M	4.03	1			
2	Med	3	45	M	3.84	1			
2	Med	3	52	M	4.2	1			
2	Med	3	55	M	4.14	1			
2	Med	3	66	M	4.18	1			
2	Med	3	NA	NA	NA	0			
2	Med	3	52	F	3.97	1			
2	Med	3	59	M	3.98	1			
2	Med	3	48	F	3.2	1			
2	Med	3	34	F	3.62	1			
2	Med	3	66	F	4.03	1			
2	Med	3	59	F	3.98	1			
2	Med	3	59	F	3.99	1			
2	Med	3	52	F	4.08	1			
2	Med	3	52	F	3.84	1			
2	Med	4	38	M	3.51	1			
2	Med	4	55	M	4.3	1			
2	Med	4	45	M	3.91	1			
2	Med	4	38	M	3.99	1			
2	Med	4	15	M	4	1			
2	Med	4	38	M	3.73	1			
2	Med	4	59	M	3.86	1			
2	Med	4	55	M	3.88	1			
2	Med	4	43	M	4.15	1			
2	Med	4	38	M	3.94	1			
2	Med	4	43	M	3.92	1			
2	Med	4	45	M	3.74	1			
2	Med	4	52	M	4.13	1			
2	Med	4	43	M	3.81	1			
2	Med	4	48	F	3.57	1			
2	Med	4	48	F	3.93	1			
2	Med	4	66	F	4.04	1			
2	Med	4	48	F	4.02	1			
2	Med	4	48	F	3.93	1			
2	Med	5	43	M	3.92	1			
2	Med	5	52	M	4.09	1			
2	Med	5	66	M	3.68	1			
2	Med	5	48	M	3.88	1			
2	Med	5	69	M	4.02	1			
2	Med	5	45	M	3.81	1			
2	Med	5	NA	NA	NA	0			
2	Med	5	55	M	3.78	1			
2	Med	5	48	M	3.31	1			
2	Med	5	64	M	2.79	1			
2	Med	5	24	F	3.51	1			
2	Med	5	55	F	3.07	1			
2	Med	5	64	F	3.81	1			
2	Med	5	45	F	3.27	1			
2	Med	5	69	F	3.03	1			
2	Med	5	66	F	3.63	1			
2	Med	5	59	F	3.73	1			
2	Med	5	52	F	3.84	1			
2	Med	5	48	F	3.46	1			
2	Med	5	52	F	4.05	1			
2	Med	6	50	M	3.82	1			
2	Med	6	62	M	4.08	1			
2	Med	6	69	M	3.71	1			
2	Med	6	NA	NA	NA	0			
2	Med	6	NA	NA	NA	0			
2	Med	6	59	M	4.1	1			
2	Med	6	59	M	3.7	1			
2	Med	6	31	F	3.93	1			
2	Med	6	NA	NA	NA	0			
2	Med	6	64	F	3.75	1			
2	Med	6	52	F	3.58	1			
2	Med	6	48	F	3.81	1			
2	Med	6	52	F	3.97	1			
2	Med	6	59	F	3.87	1			
2	Med	6	45	F	4.18	1			
2	Med	6	45	F	4	1			
2	Med	6	59	F	4	1			
2	Low	1	55	M	3.99	1			
2	Low	1	50	M	3.85	1			
2	Low	1	45	M	4.04	1			
2	Low	1	48	F	4.07	1			
2	Low	1	NA	NA	NA	0			
2	Low	1	NA	NA	NA	0			
2	Low	3	52	M	3.79	1			
2	Low	3	34	M	4.3	1			
2	Low	3	45	F	4.18	1			
2	Low	3	52	F	4.03	1			
2	Low	3	59	F	4.1	1			
2	Low	3	NA	NA	NA	0			
2	Low	4	45	M	4.03	1			
2	Low	4	59	M	4.06	1			
2	Low	4	13	M	4.11	1			
2	Low	4	50	M	3.8	1			
2	Low	4	57	F	4.03	1			
2	Low	5	3	M	3.29	1			
2	Low	5	59	M	3.92	1			
2	Low	5	43	M	3.77	1			
2	Low	5	66	F	3.66	1			
2	Low	5	6	F	3.39	1			
2	Low	10	NA	NA	NA	0			
2	Low	11	52	M	4	1			
2	Low	11	55	M	3.98	1			
2	Low	11	66	M	3.85	1			
2	Low	12	3	F	3.27	1			
3	High	1	44	M	3.57	1			
3	High	1	NA	NA	NA	0			
3	High	1	61	M	3.36	1			
3	High	1	NA	NA	NA	0			
3	High	1	54	M	3.68	1			
3	High	1	49	M	3.45	1			
3	High	1	23	M	2.64	1			
3	High	1	58	M	3.72	1			
3	High	1	49	M	4.21	1			
3	High	1	NA	NA	NA	0			
3	High	1	NA	NA	NA	0			
3	High	1	42	M	3.8	1			
3	High	1	49	M	3.56	1			
3	High	1	NA	NA	NA	0			
3	High	1	61	M	3.63	1			
3	High	1	NA	NA	NA	0			
3	High	1	42	F	3.17	1			
3	High	1	51	F	3.76	1			
3	High	1	NA	NA	NA	0			
3	High	1	NA	F	NA	0			
3	High	1	NA	NA	NA	0			
3	High	1	NA	NA	NA	0			
3	High	1	51	F	3.83	1			
3	High	1	51	F	3.44	1			
3	High	1	NA	NA	NA	0			
3	High	1	44	F	2.52	1			
3	High	1	NA	NA	NA	0			
3	High	1	35	F	3.53	1			
3	High	1	49	F	3.31	1			
3	High	1	NA	NA	NA	0			
3	High	1	NA	NA	NA	0			
3	High	1	58	F	3.25	1			
3	High	1	54	F	3.66	1			
3	High	1	54	F	3.59	1			
3	High	1	37	F	3.73	1			
3	High	1	58	F	3.29	1			
3	High	1	NA	NA	NA	0			
3	High	1	54	F	3.63	1			
3	High	2	58	M	3.41	1			
3	High	2	37	M	3.9	1			
3	High	2	NA	NA	NA	0			
3	High	2	21	M	3.51	1			
3	High	2	NA	NA	NA	0			
3	High	2	42	M	3.26	1			
3	High	2	51	M	3.54	1			
3	High	2	NA	NA	NA	0			
3	High	2	NA	NA	NA	0			
3	High	2	NA	NA	NA	0			
3	High	2	NA	NA	NA	0			
3	High	2	44	M	3.31	1			
3	High	2	51	M	3.54	1			
3	High	2	NA	NA	NA	0			
3	High	2	NA	NA	NA	0			
3	High	2	NA	NA	NA	0			
3	High	2	23	M	3.29	1			
3	High	2	NA	NA	NA	0			
3	High	2	58	M	4.25	1			
3	High	2	NA	NA	NA	0			
3	High	2	NA	NA	NA	0			
3	High	2	51	F	3.98	1			
3	High	2	26	F	3.28	1			
3	High	2	35	F	3.73	1			
3	High	2	44	F	3.28	1			
3	High	2	NA	NA	NA	0			
3	High	2	58	F	4.09	1			
3	High	2	47	F	3.42	1			
3	High	2	NA	NA	NA	0			
3	High	2	NA	NA	NA	0			
3	High	2	51	F	4.06	1			
3	High	2	61	F	3.6	1			
3	High	2	40	F	3.51	1			
3	High	2	51	F	3.79	1			
3	High	2	NA	NA	NA	0			
3	High	2	NA	NA	NA	0			
3	High	2	49	F	3.6	1			
3	High	2	51	F	3.7	1			
3	High	2	1	F	2.47	1			
3	High	2	NA	NA	NA	0			
3	Med	1	14	M	3.88	1			
3	Med	1	47	M	4	1			
3	Med	1	NA	NA	NA	0			
3	Med	1	NA	NA	NA	0			
3	Med	1	37	M	4.04	1			
3	Med	1	49	F	3.93	1			
3	Med	1	49	F	3.89	1			
3	Med	1	44	F	4.1	1			
3	Med	1	NA	NA	NA	0			
3	Med	1	56	F	4.24	1			
3	Med	1	NA	NA	NA	0			
3	Med	1	NA	NA	NA	0			
3	Med	1	7	M	3.53	1			
3	Med	2	1	F	2.51	1			
3	Med	2	NA	NA	NA	0			
3	Med	2	NA	NA	NA	0			
3	Med	2	44	F	3.77	1			
3	Med	2	51	F	3.88	1			
3	Med	2	NA	NA	NA	0			
3	Med	2	NA	NA	NA	0			
3	Med	2	NA	NA	NA	0			
3	Med	2	58	F	3.78	1			
3	Med	2	47	M	3.81	1			
3	Med	2	NA	NA	NA	0			
3	Med	2	NA	NA	NA	0			
3	Med	2	NA	NA	NA	0			
3	Med	2	51	M	3.73	1			
3	Med	2	37	M	3.75	1			
3	Med	2	21	M	4.08	1			
3	Med	2	51	M	3.69	1			
3	Med	2	47	M	4.08	1			
3	Med	2	61	F	3.92	1			
3	Med	2	NA	NA	NA	0			
3	Med	3	40	M	4.07	1			
3	Med	3	NA	NA	NA	0			
3	Med	3	NA	NA	NA	0			
3	Med	3	47	M	4.05	1			
3	Med	3	NA	NA	NA	0			
3	Med	3	NA	NA	NA	0			
3	Med	3	40	M	3.86	1			
3	Med	3	58	M	3.73	1			
3	Med	3	51	M	3.92	1			
3	Med	3	NA	NA	NA	0			
3	Med	3	NA	NA	NA	0			
3	Med	3	NA	NA	NA	0			
3	Med	3	51	F	4.04	1			
3	Med	3	40	F	4.24	1			
3	Med	3	NA	NA	NA	0			
3	Med	3	58	F	4.08	1			
3	Med	3	44	F	4.27	1			
3	Med	3	58	F	4.08	1			
3	Med	3	NA	NA	NA	0			
3	Med	4	NA	NA	NA	0			
3	Med	4	NA	NA	NA	0			
3	Med	4	47	M	4.11	1			
3	Med	4	33	M	4.24	1			
3	Med	4	49	M	4.07	1			
3	Med	4	NA	NA	NA	0			
3	Med	4	40	M	4.14	1			
3	Med	4	58	M	4.03	1			
3	Med	4	47	M	4.16	1			
3	Med	4	58	F	4.06	1			
3	Med	4	54	F	4.21	1			
3	Med	4	44	F	4.18	1			
3	Med	4	NA	NA	NA	0			
3	Med	4	NA	NA	NA	0			
3	Med	4	NA	NA	NA	0			
3	Med	4	40	F	4.18	1			
3	Med	4	47	F	4.09	1			
3	Med	4	37	F	4.14	1			
3	Med	4	30	F	4.21	1			
3	Med	4	54	F	4.09	1			
3	Low	1	21	F	3.97	1			
3	Low	2	51	M	3.96	1			
3	Low	2	49	M	3.91	1			
3	Low	2	NA	NA	NA	0			
3	Low	2	51	M	4.01	1			
3	Low	2	47	F	4.06	1			
3	Low	3	40	M	4.07	1			
3	Low	3	47	M	3.87	1			
3	Low	3	14	F	4.13	1			
3	Low	4	NA	NA	NA	0			
3	Low	4	49	M	3.88	1			
3	Low	4	58	F	4.03	1			
3	Low	5	49	F	3.85	1			
3	Low	6	61	M	3.75	1			
3	Low	6	NA	NA	NA	0			
3	Low	6	23	M	3.93	1			
3	Low	7	37	F	3.57	1			
3	Low	8	19	M	4.26	1			
3	Low	8	47	F	4.21	1			
3	Low	8	56	F	3.86	1			
3	Low	8	51	F	3.88	1			
3	Low	8	NA	NA	NA	0			
3	Low	9	54	M	4.05	1			
3	Low	9	40	F	4	1			
3	Low	9	51	F	3.78	1			
3	Low	9	NA	F	NA	0			
3	Low	10	NA	NA	NA	0			
3	Low	10	NA	NA	NA	0			
3	Low	11	44	M	4.35	1			
3	Low	11	30	M	4.5	1			
3	Low	11	37	M	4	1			
3	Low	11	47	M	3.99	1			
3	Low	11	51	F	4.32	1			
3	Low	13	33	M	4.37	1			
3	Low	13	47	F	4.02	1			
3	Low	13	47	F	3.8	1			
4	High	1	50	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	15	M	4.11	1			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	33	M	3.65	1			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	50	M	4.06	1			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	40	F	3.99	1			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	43	F	3.68	1			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	1	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	47	F	3.8	1			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	29	F	3.68	1			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	NA	NA	NA	0			
4	High	2	33	F	3.75	1			
4	High	2	NA	NA	NA	0			
4	Med	1	NA	NA	NA	0			
4	Med	1	NA	NA	NA	0			
4	Med	1	NA	NA	NA	0			
4	Med	1	NA	NA	NA	0			
4	Med	1	NA	NA	NA	0			
4	Med	1	NA	NA	NA	0			
4	Med	1	NA	NA	NA	0			
4	Med	1	29	F	4.28	1			
4	Med	1	NA	NA	NA	0			
4	Med	1	NA	NA	NA	0			
4	Med	1	NA	NA	NA	0			
4	Med	1	NA	NA	NA	0			
4	Med	1	NA	NA	NA	0			
4	Med	1	NA	NA	NA	0			
4	Med	1	NA	NA	NA	0			
4	Med	1	15	F	3.89	1			
4	Med	1	NA	NA	NA	0			
4	Med	2	50	M	4.01	1			
4	Med	2	NA	NA	NA	0			
4	Med	2	NA	NA	NA	0			
4	Med	2	NA	NA	NA	0			
4	Med	2	50	M	3.63	1			
4	Med	2	NA	NA	NA	0			
4	Med	2	NA	NA	NA	0			
4	Med	2	NA	NA	NA	0			
4	Med	2	NA	NA	NA	0			
4	Med	2	NA	NA	NA	0			
4	Med	2	NA	NA	NA	0			
4	Med	2	NA	NA	NA	0			
4	Med	2	43	F	3.48	1			
4	Med	2	NA	NA	NA	0			
4	Med	2	NA	NA	NA	0			
4	Med	3	NA	NA	NA	0			
4	Med	3	NA	NA	NA	0			
4	Med	3	NA	NA	NA	0			
4	Med	3	NA	NA	NA	0			
4	Med	3	NA	NA	NA	0			
4	Med	3	50	M	3.97	1			
4	Med	3	NA	NA	NA	0			
4	Med	3	NA	NA	NA	0			
4	Med	3	NA	NA	NA	0			
4	Med	3	NA	NA	NA	0			
4	Med	3	NA	NA	NA	0			
4	Med	3	NA	NA	NA	0			
4	Med	3	NA	NA	NA	0			
4	Med	3	NA	NA	NA	0			
4	Med	4	NA	NA	NA	0			
4	Med	4	NA	NA	NA	0			
4	Med	4	NA	NA	NA	0			
4	Med	4	NA	NA	NA	0			
4	Med	4	NA	NA	NA	0			
